Organisms	Organisms.1
echg	Enterobacter chengduensis
esh	Enterobacter sichuanensis
ent	Enterobacter sp. 638
eas	Enterobacter soli
enr	Enterobacter sp. R4-368
enx	Enterobacter sp. E20
enf	Enterobacter sp. FY-07
ebg	Enterobacter bugandensis
end	Enterobacter sp. ODB01
esa	Cronobacter sakazakii ATCC BAA-894
csk	Cronobacter sakazakii ES15
csz	Cronobacter sakazakii Sp291
csj	Cronobacter sakazakii ATCC 29544
ccon	Cronobacter condimenti
cdm	Cronobacter dublinensis
csi	Cronobacter malonaticus CMCC45402
cmj	Cronobacter malonaticus LMG 23826
cui	Cronobacter universalis
cmw	Cronobacter muytjensii
ctu	Cronobacter turicensis
kpn	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (serotype K52)
kpu	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 (serotype K1)
kpm	Klebsiella pneumoniae subsp. pneumoniae HS11286
kpp	Klebsiella pneumoniae subsp. pneumoniae 1084 (serotype K1)
kph	Klebsiella pneumoniae subsp. pneumoniae KPNIH24
kpz	Klebsiella pneumoniae subsp. pneumoniae KPNIH27
kpv	Klebsiella pneumoniae subsp. pneumoniae KPNIH29
kpw	Klebsiella pneumoniae subsp. pneumoniae KPNIH30
kpy	Klebsiella pneumoniae subsp. pneumoniae KPNIH31
kpg	Klebsiella pneumoniae subsp. pneumoniae KPNIH32
kpc	Klebsiella pneumoniae subsp. pneumoniae KPNIH10
kpq	Klebsiella pneumoniae subsp. pneumoniae KPR0928
kpt	Klebsiella pneumoniae subsp. pneumoniae ATCC 43816 KPPR1
kpo	Klebsiella pneumoniae KCTC 2242
kpr	Klebsiella pneumoniae subsp. rhinoscleromatis SB3432
kpj	Klebsiella pneumoniae JM45
kpi	Klebsiella pneumoniae CG43
kpa	Klebsiella pneumoniae 30660/NJST258_1
kps	Klebsiella pneumoniae 30684/NJST258_2
kpx	Klebsiella pneumoniae PMK1
kpb	Klebsiella pneumoniae blaNDM-1
kpne	Klebsiella pneumoniae 32192
kpnu	Klebsiella pneumoniae 34618
kpnk	Klebsiella pneumoniae Kp52.145
kva	Klebsiella variicola At-22
kpe	Klebsiella variicola 342
kpk	Klebsiella variicola KP5-1
kvd	Klebsiella variicola DX120E
kvq	Klebsiella variicola DSM 15968
kox	Klebsiella michiganensis KCTC 1686
koe	Klebsiella michiganensis E718
koy	Klebsiella michiganensis HKOPL1
kom	Klebsiella michiganensis M1
kmi	Klebsiella michiganensis RC10
kok	Klebsiella oxytoca KONIH1
koc	Klebsiella oxytoca CAV1374
kqu	Klebsiella quasipneumoniae
eae	Klebsiella aerogenes KCTC 2190
ear	Klebsiella aerogenes EA1509E
kqv	Klebsiella quasivariicola
kll	Klebsiella sp. LTGPAF-6F
klw	Klebsiella huaxiensis
cro	Citrobacter rodentium
cko	Citrobacter koseri
cfd	Citrobacter freundii
cbra	Citrobacter braakii
cwe	Citrobacter werkmanii
cyo	Citrobacter youngae
cpot	Citrobacter portucalensis
cfq	Citrobacter freundii complex sp. CFNIH3
cama	Citrobacter amalonaticus Y19
caf	Citrobacter amalonaticus FDAARGOS_165
cif	Citrobacter sp. FDAARGOS_156
cfar	Citrobacter farmeri
cir	Citrobacter sp. CFNIH10
cie	Citrobacter sp. CRE-46
cpar	Citrobacter pasteurii
gqu	Gibbsiella quercinecans
bfl	Candidatus Blochmannia floridanus (Camponotus floridanus)
bpn	Candidatus Blochmannia pennsylvanicus (Camponotus pennsylvanicus)
bva	Candidatus Blochmannia vafer (Camponotus vafer)
bchr	Candidatus Blochmannia chromaiodes (Camponotus chromaiodes)
ben	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus 757
bed	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri 675
hde	Candidatus Hamiltonella defensa (Acyrthosiphon pisum)
sect	Secondary endosymbiont of Ctenarytaina eucalypti
sehc	Secondary endosymbiont of Heteropsylla cubana
senm	Secondary endosymbiont of Trabutina mannipara
rip	Candidatus Riesia pediculicola
rig	Candidatus Riesia sp. GBBU
men	Candidatus Moranella endobia PCIT
meo	Candidatus Moranella endobia PCVAL
ebt	Shimwellia blattae
ror	Raoultella ornithinolytica B6
ron	Raoultella ornithinolytica S12
rpln	Raoultella planticola
rao	Raoultella sp. X13
rtg	Raoultella terrigena
ree	Raoultella electrica
cnt	Cedecea neteri SSMD04
cem	Cedecea neteri M006
cen	Cedecea neteri ND14a
clap	Cedecea lapagei
pge	Pluralibacter gergoviae
esc	Enterobacter lignolyticus SCF1
kle	Enterobacter lignolyticus G5
ksa	Kosakonia sacchari
kor	Kosakonia oryzae
krd	Kosakonia radicincitans
kco	Kosakonia cowanii
kot	Kosakonia sp. CCTCC M2018092
kgo	Kluyvera georgiana
kie	Kluyvera intermedia
icp	Candidatus Ishikawaella capsulata
lax	Leclercia adecarboxylata
lei	Leclercia sp. LSNIH1
leh	Leclercia sp. LSNIH3
lee	Leclercia sp. W17
ler	Leclercia sp. 1106151
lea	Leclercia sp. J807
laz	Lelliottia amnigena
lef	Lelliottia jeotgali
lni	Lelliottia nimipressuralis
lew	Lelliottia sp. WB101
lpv	Limnobaculum parvum
buf	Buttiauxella sp. 3AFRM03
bage	Buttiauxella agrestis
sbw	Candidatus Tachikawaea gelatinosa
den	Candidatus Doolittlea endobia (Maconellicoccus hirsutus)
hed	Candidatus Hoaglandella endobia
ged	Candidatus Gullanella endobia (Ferrisia virgata)
cmik	Candidatus Mikella endobia
ppet	Candidatus Purcelliella pentastirinorum
mety	Metakosakonia sp. MRY16-398
ahn	Atlantibacter hermannii
izh	Izhakiella sp. KSNA2
yre	Yokenella regensburgei
sgoe	Scandinavium goeteborgense
kin	Phytobacter ursingii
pdz	Phytobacter diazotrophicus
ebf	Enterobacteriaceae bacterium FGI 57
ebc	Enterobacteriaceae bacterium ENNIH2
ebu	Enterobacteriaceae bacterium S05
psts	Plautia stali symbiont
ype	Yersinia pestis CO92 (biovar Orientalis)
ypk	Yersinia pestis KIM10+ (biovar Mediaevalis)
yph	Yersinia pestis Harbin 35 (biovar Medievalis)
ypa	Yersinia pestis Antiqua (biovar Antiqua)
ypn	Yersinia pestis Nepal516 (biovar Antiqua)
ypm	Yersinia pestis 91001 (biovar Microtus)
ypp	Yersinia pestis Pestoides F (biovar Antiqua)
ypg	Yersinia pestis Angola
ypz	Yersinia pestis Z176003
ypt	Yersinia pestis A1122
ypd	Yersinia pestis D106004
ypx	Yersinia pestis D182038
ypw	Yersinia pestis PBM19
ypj	Yersinia pestis Harbin35
ypv	Yersinia pestis Shasta
ypl	Yersinia pestis El Dorado
yps	Yersinia pseudotuberculosis IP 32953 (serotype I)
ypo	Yersinia pseudotuberculosis IP 32953 (serotype 1)
ypi	Yersinia pseudotuberculosis IP 31758 (serotype O:1b)
ypy	Yersinia pseudotuberculosis YPIII (serotype O:3)
ypb	Yersinia pseudotuberculosis PB1/+ (serotype 1B)
ypq	Yersinia pseudotuberculosis ATCC 6904
ypu	Yersinia pseudotuberculosis MD67
ypr	Yersinia pseudotuberculosis EP2/+
ypc	Yersinia pseudotuberculosis 1
ypf	Yersinia pseudotuberculosis PA3606
yen	Yersinia enterocolitica subsp. enterocolitica 8081 (serotype 0:8)
yep	Yersinia enterocolitica subsp. palearctica 105.5R(r) (serotype:O:9)
yey	Yersinia enterocolitica subsp. palearctica Y11 (serotype:0:3)
yel	Yersinia enterocolitica LC20
yew	Yersinia enterocolitica WA
yet	Yersinia enterocolitica 2516-87
yef	Yersinia enterocolitica FORC_002
yee	Yersinia enterocolitica (type O:5) YE53/03
ysi	Yersinia similis
yal	Yersinia aldovae
yfr	Yersinia frederiksenii
yin	Yersinia intermedia
ykr	Yersinia kristensenii
yro	Yersinia rohdei
yru	Yersinia ruckeri YRB
yrb	Yersinia ruckeri Big Creek 74 (serotype O2)
yak	Yersinia aleksiciae
yma	Yersinia massiliensis
yhi	Yersinia hibernica
yca	Yersinia canariae
ymo	Yersinia mollaretii
smar	Serratia marcescens SM39
smac	Serratia marcescens subsp. marcescens Db11
smw	Serratia marcescens WW4
spe	Serratia proteamaculans
srr	Serratia plymuthica AS9
srl	Serratia plymuthica 4Rx13
sry	Serratia plymuthica S13
sply	Serratia plymuthica PRI-2C
srs	Serratia sp. AS12
sra	Serratia sp. AS13
ssz	Serratia symbiotica
smaf	Serratia sp. FGI94
slq	Serratia liquefaciens
serf	Serratia sp. FS14
sers	Serratia sp. SCBI
sfw	Serratia fonticola DSM 4576
sfg	Serratia fonticola GS2
srz	Serratia rubidaea
sera	Serratia sp. ATCC 39006
serq	Serratia sp. ATCC 39006
serm	Serratia sp. MYb239
squ	Serratia quinivorans
sfj	Serratia ficaria
sof	Serratia odorifera
ssur	Serratia surfactantfaciens
sfo	Chania multitudinisentens
rah	Rahnella sp. Y9602
raq	Rahnella aquatilis CIP 78.65 = ATCC 33071
raa	Rahnella aquatilis HX2
rox	Rahnella sp. ERMR1:05
fsm	Candidatus Fukatsuia symbiotica
eame	Ewingella americana
eca	Pectobacterium atrosepticum SCRI1043
patr	Pectobacterium atrosepticum JG10-08
pato	Pectobacterium atrosepticum 21A
pct	Pectobacterium carotovorum subsp. carotovorum PC1
pcc	Pectobacterium carotovorum subsp. carotovorum PCC21
pcv	Pectobacterium odoriferum
pwa	Pectobacterium parmentieri WPP163
ppar	Pectobacterium parmentieri RNS08.42.1A
pec	Pectobacterium parmentieri SCC3193
pws	Pectobacterium wasabiae
ppoa	Pectobacterium polaris
pbra	Pectobacterium brasiliense
ppuj	Pectobacterium punjabense
sgl	Sodalis glossinidius (Glossina spp.)
sod	Sodalis praecaptivus
pes	Candidatus Sodalis pierantonius
seny	Sodalis endosymbiont of Henestaris halophilus
ddd	Dickeya dadantii 3937
dda	Dickeya paradisiaca
dze	Dickeya chrysanthemi
ddc	Dickeya zeae Ech586
dzc	Dickeya zeae EC1
dso	Dickeya solani IPO 2222
ced	Dickeya fangzhongdai ND14b
dfn	Dickeya fangzhongdai DSM 101947
ddq	Dickeya dianthicola
daq	Dickeya aquatica
dic	Dickeya sp. NCPPB 569
bgj	Brenneria goodwinii
brb	Brenneria rubrifaciens
bng	Brenneria nigrifluens
lbq	Lonsdalea britannica
eam	Erwinia amylovora CFBP1430
eay	Erwinia amylovora ATCC 49946
eta	Erwinia tasmaniensis
epy	Erwinia pyrifoliae Ep1/96
epr	Erwinia pyrifoliae DSM 12163
ebi	Erwinia billingiae
erj	Erwinia sp. Ejp617
ege	Erwinia gerundensis
epe	Erwinia persicina
ehd	Candidatus Erwinia haradaeae
erwi	Erwinia sp. J780
buc	Buchnera aphidicola APS (Acyrthosiphon pisum)
bap	Buchnera aphidicola 5A (Acyrthosiphon pisum)
bau	Buchnera aphidicola Tuc7 (Acyrthosiphon pisum)
baw	Buchnera aphidicola JF98 (Acyrthosiphon pisum)
bajc	Buchnera aphidicola JF99 (Acyrthosiphon pisum)
bua	Buchnera aphidicola LL01 (Acyrthosiphon pisum)
bup	Buchnera aphidicola TLW03 (Acyrthosiphon pisum)
bak	Buchnera aphidicola Ak (Acyrthosiphon kondoi)
buh	Buchnera aphidicola Ua (Uroleucon ambrosiae)
bapf	Buchnera aphidicola F009 (Myzus persicae)
bapg	Buchnera aphidicola G002 (Myzus persicae)
bapu	Buchnera aphidicola USDA (Myzus persicae)
bapw	Buchnera aphidicola W106 (Myzus persicae)
bas	Buchnera aphidicola Sg (Schizaphis graminum)
bab	Buchnera aphidicola Bp (Baizongia pistaciae)
bcc	Buchnera aphidicola BCc
baj	Buchnera aphidicola (Cinara tujafilina)
baph	Buchnera aphidicola (Aphis glycines)
wbr	Wigglesworthia glossinidia brevipalpis (Glossina brevipalpis)
wgl	Wigglesworthia glossinidia morsitans (Glossina morsitans)
pam	Pantoea ananatis LMG 20103
plf	Pantoea ananatis LMG 5342
paj	Pantoea ananatis AJ13355
paq	Pantoea ananatis PA13
pva	Pantoea vagans C9-1
pagg	Pantoea vagans FDAARGOS_160
pao	Pantoea sp. At-9b
kln	Pantoea rwandensis
pant	Pantoea sp. PSNIH1
panp	Pantoea sp. PSNIH2
hhs	Candidatus Pantoea carbekii
pck	Candidatus Pantoea carbekii US
pagc	Pantoea agglomerans C410P1
pstw	Pantoea stewartii subsp. stewartii
palh	Pantoea alhagi
pans	Pantoea sp. SO10
pey	Pantoea eucalypti
pdis	Pantoea dispersa
pgz	Mixta gaviniae
pcd	Mixta calida
mint	Mixta intestinalis
mthi	Mixta theicola
tci	Tatumella citrea
tpty	Tatumella ptyseos
plu	Photorhabdus laumondii subsp. laumondii TTO1
plum	Photorhabdus laumondii subsp. laumondii DSPV002N
pay	Photorhabdus asymbiotica
ptt	Photorhabdus thracensis
pmr	Proteus mirabilis HI4320
pmib	Proteus mirabilis BB2000
pvl	Proteus mirabilis CYPV1
pvg	Proteus vulgaris
phau	Proteus hauseri
prot	Proteus sp. CD3
pcib	Proteus cibarius
pcol	Proteus columbae
xbo	Xenorhabdus bovienii SS-2004
xbv	Xenorhabdus bovienii CS03
xne	Xenorhabdus nematophila ATCC 19061
xnm	Xenorhabdus nematophila AN6/1
xdo	Xenorhabdus doucetiae
xpo	Xenorhabdus poinarii
xho	Xenorhabdus hominickii
psi	Providencia stuartii MRSN 2154
psx	Providencia stuartii ATCC 33672
psta	Providencia stuartii BE2467
prg	Providencia rettgeri
pala	Providencia alcalifaciens
phei	Providencia heimbachae
prq	Providencia sp. WCHPHu000369
prj	Providencia rustigianii
pvc	Providencia vermicola
mmk	Morganella morganii
asy	Candidatus Arsenophonus lipoptenae
aen	Arsenophonus endosymbiont of Aleurodicus dispersus
ans	Arsenophonus nasoniae
eic	Edwardsiella ictaluri
etr	Edwardsiella tarda EIB202
etd	Edwardsiella tarda FL6-60
ete	Edwardsiella anguillarum
etc	Edwardsiella piscicida C07-087
edw	Edwardsiella sp. EA181011
edl	Edwardsiella sp. LADL05-105
eho	Edwardsiella hoshinae
hav	Hafnia alvei
hpar	Hafnia paralvei
opo	Obesumbacterium proteus
pfq	Pragia fontium
prag	Pragia sp. CF-458
lri	Leminorella richardii
pshi	Plesiomonas shigelloides
hin	Haemophilus influenzae Rd KW20 (serotype d)
hit	Haemophilus influenzae 86-028NP (nontypeable)
hip	Haemophilus influenzae PittEE (nontypeable)
hiq	Haemophilus influenzae PittGG (nontypeable)
hif	Haemophilus influenzae F3031 (nontypeable)
hil	Haemophilus influenzae F3047 (nontypeable)
hiu	Haemophilus influenzae 10810 (serotype b)
hie	Haemophilus influenzae R2846 (nontypeable)
hiz	Haemophilus influenzae R2866 (nontypeable)
hik	Haemophilus influenzae KR494 (serotype f)
hia	Haemophilus influenzae CGSHiCZ412602
hih	Haemophilus influenzae Hi375
hiw	Haemophilus influenzae 477
hic	Haemophilus influenzae C486
hix	Haemophilus influenzae 723
hpr	Haemophilus parainfluenzae
hdu	Haemophilus ducreyi
hay	Haemophilus sp. oral taxon 036
hpit	Haemophilus pittmaniae
hhz	Haemophilus haemolyticus
haeg	Haemophilus aegyptius
hpaa	Haemophilus parahaemolyticus
hap	Glaesserella parasuis SH0165
hpaz	Glaesserella parasuis ZJ0906
hpas	Glaesserella parasuis SH03
hpak	Glaesserella parasuis KL0318
gle	Glaesserella sp. 15-184
hso	Histophilus somni 129PT
hsm	Histophilus somni 2336
pmu	Pasteurella multocida subsp. multocida Pm70
pmv	Pasteurella multocida subsp. multocida HN06
pul	Pasteurella multocida subsp. multocida 3480
pmp	Pasteurella multocida 36950
pmul	Pasteurella multocida ATCC 43137
pdag	Pasteurella dagmatis
psky	Pasteurella skyensis
msu	Mannheimia succiniciproducens
bsun	Basfia succiniciproducens
mht	Mannheimia haemolytica USDA-ARS-USMARC-185
mhq	Mannheimia haemolytica USDA-ARS-USMARC-183
mhat	Mannheimia haemolytica USDA-ARS-USMARC-184
mhx	Mannheimia haemolytica M42548
mhae	Mannheimia haemolytica D153
mham	Mannheimia haemolytica D171
mhao	Mannheimia haemolytica D174
mhal	Mannheimia haemolytica USMARC_2286
mhaq	Mannheimia haemolytica 89010807N
mhay	Mannheimia haemolytica 89010807N lktA-
mvr	Mannheimia sp. USDA-ARS-USMARC-1261
mvi	Mannheimia varigena USDA-ARS-USMARC-1296
mvg	Mannheimia varigena USDA-ARS-USMARC-1312
mve	Mannheimia varigena USDA-ARS-USMARC-1388
mann	Mannheimia sp. ZY170218
mgra	Mannheimia granulomatis
apl	Actinobacillus pleuropneumoniae L20 (serotype 5b)
apj	Actinobacillus pleuropneumoniae JL03 (serotype 3)
apa	Actinobacillus pleuropneumoniae AP76 (serotype 7)
asu	Actinobacillus succinogenes
asi	Actinobacillus suis H91-0380
ass	Actinobacillus suis ATCC 33415
aeu	Actinobacillus equuli subsp. equuli
apor	Actinobacillus porcitonsillarum
aio	Actinobacillus indolicus
adp	Actinobacillus delphinicola
alig	Actinobacillus lignieresii
aap	Aggregatibacter aphrophilus NJ8700
aaz	Aggregatibacter aphrophilus W10433
aat	Aggregatibacter actinomycetemcomitans D11S-1
aao	Aggregatibacter actinomycetemcomitans ANH9381
aan	Aggregatibacter actinomycetemcomitans D7S-1
aah	Aggregatibacter actinomycetemcomitans HK1651
aacn	Aggregatibacter actinomycetemcomitans NUM4039
aact	Aggregatibacter actinomycetemcomitans 624
aseg	Aggregatibacter segnis
gan	Gallibacterium anatis
bto	Bibersteinia trehalosi USDA-ARS-USMARC-192
btre	Bibersteinia trehalosi USDA-ARS-USMARC-188
btrh	Bibersteinia trehalosi USDA-ARS-USMARC-189
btra	Bibersteinia trehalosi USDA-ARS-USMARC-190
apag	Avibacterium paragallinarum
avt	Avibacterium volantium
rpne	Rodentibacter pneumotropicus
rhey	Rodentibacter heylii
ooi	Otariodibacter oris
fcl	Frederiksenia canicola
bhud	Bisgaardia hudsonensis
paet	Pasteurella aerogenes
xfa	Xylella fastidiosa 9a5c
xft	Xylella fastidiosa Temecula1
xfm	Xylella fastidiosa M12
xfn	Xylella fastidiosa M23
xff	Xylella fastidiosa subsp. fastidiosa GB514
xfl	Xylella fastidiosa MUL0034
xfs	Xylella fastidiosa subsp. sandyi Ann-1
xfh	Xylella fastidiosa Hib4
xtw	Xylella taiwanensis
xcc	Xanthomonas campestris pv. campestris ATCC 33913
xcb	Xanthomonas campestris pv. campestris 8004
xca	Xanthomonas campestris pv. campestris B100
xcp	Xanthomonas campestris pv. raphani
xcv	Xanthomonas campestris pv. vesicatoria
xax	Xanthomonas axonopodis pv. citrumelo F1
xac	Xanthomonas citri pv. citri 306
xci	Xanthomonas citri subsp. citri Aw12879
xct	Xanthomonas citri subsp. citri A306
xcj	Xanthomonas citri subsp. citri UI6
xcu	Xanthomonas citri pv. citri UI7
xcn	Xanthomonas citri pv. citri NT17
xcw	Xanthomonas citri pv. citri MN10
xcr	Xanthomonas citri pv. citri MN11
xcm	Xanthomonas citri pv. citri MN12
xcf	Xanthomonas citri pv. citri mf20
xfu	Xanthomonas citri pv. fuscans
xao	Xanthomonas axonopodis Xac29-1
xom	Xanthomonas oryzae pv. oryzae MAFF 311018
xoo	Xanthomonas oryzae pv. oryzae KACC 10331
xop	Xanthomonas oryzae pv. oryzae PXO99A
xoy	Xanthomonas oryzae pv. oryzae PXO86
xor	Xanthomonas oryzae pv. oryzicola BLS256
xoz	Xanthomonas oryzae pv. oryzicola CFBP7342
xal	Xanthomonas albilineans
xsa	Xanthomonas sacchari
xtn	Xanthomonas translucens
xfr	Xanthomonas fragariae
xve	Xanthomonas vesicatoria
xpe	Xanthomonas perforans
xhr	Xanthomonas hortorum
xga	Xanthomonas hortorum pv. gardneri
xph	Xanthomonas phaseoli
xva	Xanthomonas vasicola
xan	Xanthomonas sp. ISO98C4
xar	Xanthomonas arboricola
xhy	Xanthomonas hyacinthi
xcz	Xanthomonas cucurbitae
sml	Stenotrophomonas maltophilia K279a
smt	Stenotrophomonas maltophilia R551-3
buj	Stenotrophomonas maltophilia JV3
smz	Stenotrophomonas maltophilia D457
sacz	Stenotrophomonas acidaminiphila
stek	Stenotrophomonas sp. KCTC 12332
srh	Stenotrophomonas rhizophila
slm	Stenotrophomonas sp. LM091
sten	Stenotrophomonas sp. WZN-1
stem	Stenotrophomonas sp. MYb57
stes	Stenotrophomonas sp. ASS1
psu	Pseudoxanthomonas suwonensis 11-1
psuw	Pseudoxanthomonas suwonensis J1
psd	Pseudoxanthomonas spadix
pmex	Pseudoxanthomonas mexicana
lab	Lysobacter antibioticus 76
laq	Lysobacter antibioticus ATCC 29479
lcp	Lysobacter capsici
lgu	Lysobacter gummosus
lez	Lysobacter enzymogenes C3
lem	Lysobacter enzymogenes M497-1
lmb	Lysobacter maris
lyt	Lysobacter sp. TY2-98
lue	Lysobacter oculi
lyj	Lysobacter sp. SJ-36
lsol	Lysobacter soli
lum	Luteimonas chenhongjianii
lus	Luteimonas yindakuii
lug	Luteimonas sp. Gr-4
thes	Thermomonas sp. SY21
theh	Thermomonas sp. HDW16
tcn	Thermomonas carbonis
xbc	Pseudolysobacter antarcticus
fau	Frateuria aurantia
rhd	Rhodanobacter denitrificans
rgl	Rhodanobacter glycinis
dji	Dyella jiangningensis
dja	Dyella japonica
dtx	Dyella thiooxydans
dye	Dyella sp. M7H15-1
dko	Dokdonella koreensis
lrz	Luteibacter rhizovicinus DSM 16549
lpy	Luteibacter pinisoli
xba	Ahniella affigens
rbd	Aerosticca soli
vch	Vibrio cholerae O1 El Tor N16961
vcf	Vibrio cholerae O1 El Tor FJ147
vcs	Vibrio cholerae O1 El Tor MS6
vce	Vibrio cholerae O1 2010EL-1786
vcq	Vibrio cholerae O1 2012EL-2176
