name	map_to
1-aminocyclopropane-1-carboxylic acids and derivatives	ISA51454; ISA33704
1-aminocyclopropane-1-carboxylic acids	ISA51454; ISA33704
Halohydrins	ISA36684; ISA30879
Carbonylimidazoles	ISA24780
Epoxypiperidines	ISA26151; ISA32955
Thiosulfonimidic o-acids	ISA64709
Thiosulfonimidic s-acids	ISA64709
Trithiosulfonic acids	ISA64709
Sulfinohydroximic acids	ISA64709
Sulfinohydrazonic acids	ISA64709
Phenoxides	ISA24868
Isothiocyanate acids	ISA52221
Nitronic acids	ISA64709
Hemiketals	ISA59772
Dihydroxyphosphanes	ISA36359; HFP29261
Carbodithioic acids	ISA35736
Benzylethers	ISA59859
Dithiosulfonic o-acids	ISA64709
Dithiosulfonic s-acids	ISA64709
Coumarinolignans	ISA38104
Diazetidines	ISA38101
Phenylimidazolidines	ISA38261
"Tanshinones, isotanshinones, and derivatives"	ISA36762
Tanshinlactones and derivatives	ISA35341
Isocopalane and spongiane diterpenoids	ISA23849
Phenylpropanoic acids	ISA25384; ISA22712
Quinoline carboxylic acids	ISA26513
Quinoline carboxamides	ISA26513
Pyrrole carboxylic acids and derivatives	ISA26455
Pyrrole carboxylic acids	ISA26455; ISA33575
Pyrrole carboxamides	ISA26455; ISA37622
Pyrrole 2-carboxylic acids	ISA26455; ISA33575
N-substituted phenoxazines	ISA25970
Sulfosalicylic acids and derivatives	ISA36586; ISA73942
Sulfosalicyclic acids	ISA73942
Thiatriazoles	ISA38101; ISA38106
Aminothiadiazoles	ISA38101; ISA38106
Methoxypyrazines	ISA38314; ISA35618
Dichlorobenzenes	ISA23697
Benzoic acids	ISA22723
Isoquinolines and derivatives	ISA24922
Isoquinoline quinones	ISA24922
Angular furanocoumarins	ISA24128
Linear furanocoumarins	ISA24128
Quinoline quinones	ISA23765
Phenanthraquinones	ISA25961
Naphthothiophenes	ISA26979; ISA38106
Thienobenzoxepines	ISA26979; ISA38104; ISA38106
Phenyloxazolidines	ISA38329
Phenylisoxazolidines	ISA35790; ISA38101
"1,2-oxazinanes"	ISA46952
Phenylthiomorpholines	ISA38101; ISA38106
Oxathiazolidines	ISA38104; ISA38106
Phenylthiazetidines	ISA38101; ISA38106
Isoflavonequinones	ISA38757
Neoflavans	ISA71971
Neoflavenes	ISA71971
Dalbergiquinols	ISA71971
Phenylbenzofurans	ISA35259
O-methylated flavonoids	ISA72544; ISA25698
O-methylated isoflavonoids	ISA50753; ISA25698
2-O-methylated flavonoids	ISA72544; ISA25698
3-O-methylated flavonoids	ISA72544; ISA25698
4-O-methylated flavonoids	ISA72544; ISA25698
5-O-methylated flavonoids	ISA72544; ISA25698
6-O-methylated flavonoids	ISA72544; ISA25698
7-O-methylated flavonoids	ISA72544; ISA25698
8-O-methylated flavonoids	ISA72544; ISA25698
2'-O-methylated flavonoids	ISA72544; ISA25698
3'-O-methylated flavonoids	ISA72544; ISA25698
4'-O-methylated flavonoids	ISA72544; ISA25698
2-O-methylated isoflavonoids	ISA72544; ISA25698
3-O-methylated isoflavonoids	ISA72544; ISA25698
4-O-methylated isoflavonoids	ISA72544; ISA25698
5-O-methylated isoflavonoids	ISA72544; ISA25698
6-O-methylated isoflavonoids	ISA72544; ISA25698
7-O-methylated isoflavonoids	ISA72544; ISA25698
8-O-methylated isoflavonoids	ISA72544; ISA25698
2'-O-methylated isoflavonoids	ISA72544; ISA25698
3'-O-methylated isoflavonoids	ISA72544; ISA25698
4'-O-methylated isoflavonoids	ISA72544; ISA25698
Bromohydrins	ISA37141; ISA30879
Chlorohydrins	ISA30879; ISA36683
Fluorohydrins	ISA30879; ISA37143
Iodohydrins	ISA30879; ISA37142
Dichlorobenzoic acids	ISA23134
Alpha-methyldeoxybenzoin flavonoids	ISA17087
2-phenylbenzofurans	ISA35259
Furanoflavonoids and dihydrofuranoflavonoids	ISA71037
Angular furanoflavonoids and dihydrofuranoflavonoids	ISA71037
Linear furanoflavonoids and dihydrofuranoflavonoids	ISA71037
Furanoisoflavonoids	ISA72544
Tetrahydrofolic acids and derivatives	ISA26907
Dihydrofolic acids and derivatives	ISA23743
N-benzylalanines	ISA22278
N-benzoylpiperidines	ISA48591
N-benzylpiperidines	ISA26151
Thiohydroquinones	ISA33853; ISA29256
Aminohydroquinones	ISA24646
N-phenylbenzamides	ISA22702
Phenylsulfates	ISA37919
Imidazopiperidines	ISA38101
Trisubstituted imidazoles	ISA24780
"1,2,4-trisubstituted imidazoles"	ISA24780
"1,2,5-trisubstituted imidazoles"	ISA24780
"2,4,5-trisubstituted imidazoles"	ISA24780
Tetrasubstituted imidazoles	ISA24780
"1,2,4,5-tetrasubstituted imidazoles"	ISA24780
"2,4-disubstituted thiazoles"	ISA48901
"2,5-disubstituted thiazoles"	ISA48901
"4,5-disubstituted thiazoles"	ISA48901
"2,4,5-trisubstituted thiazoles"	ISA48901
"2,4-disubstituted oxazoles"	ISA35790
"2,5-disubstituted oxazoles"	ISA35790
"4,5-disubstituted oxazoles"	ISA35790
"2,4,5-trisubstituted oxazoles"	ISA35790
"3,4-dihydrocoumarins"	ISA37912
"6,7-dihydroxycoumarins"	ISA37912
"7,8-dihydroxycoumarins"	ISA37912
Halogenated steroids	ISA35341; ISA36684
Cyclohexanones	ISA23482
Cyclohexanols	ISA23480
Tetrahydrofurans	ISA26912
Oxathiaphospholanes	ISA38104; ISA38106; ISA25710
Diarylheptanoids	ISA78802
Linear diarylheptanoids	ISA78802
Cyclic diarylheptanoids	ISA78802
Phenalenes	ISA51120
Phenalenones	ISA51120
Phenalanes	ISA51120
Loline alkaloids and derivatives	ISA22315
Cularin alkaloids and derivatives	ISA22315
Rhoeadine alkaloids	ISA22315
Emetine alkaloids	ISA22315
Proaporphines	ISA22315
Homoaporphines	ISA22315
Homoproaporphines	ISA22315
Aristolactams	ISA22315
Aristolochic acids and derivatives	ISA25961; HFP2825
Benzophenanthridine alkaloids	ISA38517
Hexahydrobenzophenanthridine alkaloids	ISA38517
Dihydrobenzophenanthridine alkaloids	ISA38517
N-demethylbenzophenanthridine alkaloids	ISA38517
Quaternary benzophenanthridine alkaloids	ISA38517
Secobenzophenanthridine alkaloids	ISA38517
Eburnan-type alkaloids	ISA22315
Plumeran-type alkaloids	ISA22315
Benzylamines	ISA18000
Cyclohexylamines	ISA32952
Thiirenes	ISA38106
Peroxols	ISA35924
Indenoazepines	ISA26979; ISA38101
Lycoctonine alkaloids	ISA22315
Ergolines and derivatives	ISA60529
Lysergic acids and derivatives	ISA60529
Oxaergolines	ISA22315
Coumaroyl glycosides	ISA24400
M-coumaroyl glycosides	ISA24400
O-coumaroyl glycosides	ISA24400
P-coumaroyl glycosides	ISA24400
2-hydroxyisoflavanones	ISA72739
4'-O-methylisoflavones	ISA38756
"1-acyl-sn-glycerol-2,3-cyclic-phosphates"	ISA62839
7-O-methylisoflavones	ISA38756
3'-O-methylisoflavones	ISA38756
Diazirines	ISA38101
Triazirines	ISA38101
Triazinanes	ISA38778
Molybdopterins	ISA35203
Diphenylpyrroles	ISA26455
Chlorocatechols	ISA23138
4-chlorocatechols	ISA23138
3-chlorocatechols	ISA23138
Benzodioxanes	ISA64096
"Benzo-1,2-dioxanes"	ISA64096
"Benzo-1,3-dioxanes"	ISA64096
"Benzo-1,4-dioxanes"	ISA64096
"Benzo-2,3-dioxanes"	ISA64096
Phenylbenzodioxanes	ISA64096
"Phenylbenzo-1,3-dioxanes"	ISA64096
"Phenylbenzo-2,3-dioxanes"	ISA64096
"Phenylbenzo-1,4-dioxanes"	ISA64096
Anthocyanidin 3-O-p-coumaroyl glycosides	ISA71583
Anthocyanidin 3p-O-p-coumaroyl glycosides	ISA71583
Anthocyanidin 5-O-p-coumaroyl glycosides	ISA71583
Anthocyanidin 3-O-6-p-coumaroyl glycosides	ISA71583
Anthocyanidin 3-O-2-p-coumaroyl glycosides	ISA71583
Anthocyanidin 3p-O-6-p-coumaroyl glycosides	ISA71583
Anthocyanidin 3p-O-2-p-coumaroyl glycosides	ISA71583
Anthocyanidin 5-O-6-p-coumaroyl glycosides	ISA71583
Anthocyanidin 5-O-2-p-coumaroyl glycosides	ISA71583
Polyphenyl ethers	ISA35618
Polyphenyl thioethers	ISA16385
Lupin alkaloids	ISA22315
Matrine alkaloids	ISA22315
Lupinine-type alkaloids	ISA26515
Cytisine and derivatives	ISA22315
Anagyrine-type alkaloids	ISA22315
Steroidal alkaloids	ISA26767
Solanocapsine-type alkaloids	ISA26767
Buxus alkaloids	ISA26767
Samamine-type alkaloids	ISA26767
Jerveratum-type alkaloids	ISA22315
Cerveratrum-type alkaloids	ISA22315
Pregnane-type alkaloids	ISA26767
Conanine-type alkaloids	ISA26767
"22,26-epiminocholestanes"	ISA26767
"22,23-secosolanidanes and derivatives"	ISA26767
Samandarines	ISA26767
"3-oxo-22,26-epiminocholestanes"	ISA26767
"3-amino-22,26-epiminocholestanes"	ISA26767
3-aminospirostanes	ISA26767
Atisane diterpenoids	HPH36471; ISA23849
Atisine alkaloids	ISA23847
Benzodifurans	ISA38104; ISA26979
Angular benzodifurans	ISA38104; ISA26979
Linear benzodifurans	ISA38104; ISA26979
Protopine alkaloids	ISA22315
Vobasan alkaloids	ISA22315
Lysergic acids	ISA60529; HFP6604
Lysergamides	ISA60529
Clavines and derivatives	ISA22315
Ibogan-type alkaloids	ISA22315
Strychnos alkaloids	ISA22315
Corynanthean-type alkaloids	ISA22315
Vallesiachotaman alkaloids	ISA22315
Vincosan alkaloids	ISA22315
Pyridoxine-5'-phosphates	ISA36970
Cinnamyl alcohols	ISA26004
Aspidospermatan-type alkaloids	ISA22315
Vinca alkaloids	ISA27288
Quebrachamine alkaloids	ISA22315
Rhazinilam alkaloids	ISA22315
Tacaman alkaloids	ISA22315
Amidoximes	ISA65234
3-sulfobenzoic acids	ISA26825
4-sulfobenzoic acids	ISA26825
Iodophenols	ISA24863
Bromophenols	ISA33624
Fluorophenols	ISA38856; ISA37143
Chlorophenols	ISA23150
M-bromophenols	ISA33624
O-bromophenols	ISA33624
P-bromophenols	ISA33624
M-chlorophenols	ISA38857
O-chlorophenols	ISA38857
P-chlorophenols	ISA38857
M-fluorophenols	ISA38856; ISA37143
O-fluorophenols	ISA38856; ISA37143
P-fluorophenols	ISA38856; ISA37143
M-iodophenols	ISA24863
O-iodophenols	ISA24863
P-iodophenols	ISA24863
4-nitroquinoline N-oxides	ISA26508; ISA35716
Erythrinanes	ISA22315
Homoerythrinane alkaloids	ISA22315
Pyridodiazepines	ISA38101
"Akuammilan, akuammidan, and related alkaloids"	ISA22315
Sulfanylbenzoic acids	ISA59126
Thiosalicylic acids	ISA59126
M-sulfanylbenzoic acids and derivatives	ISA36586; ISA29256
P-sulfanylbenzoic acids and derivatives	ISA36586; ISA29256
M-sulfanylbenzoic acids	ISA59126
P-sulfanylbenzoic acids	ISA59126
"1,3-oxazinanes"	ISA46952
Acutumine and related alkaloids	ISA22315
Hasubanan alkaloids	ISA24921
Pavine alkaloids	ISA24921
Isopavine alkaloids	ISA22315
Organoboron compounds	ISA38278
"1,2,3-triazinanes"	ISA38778; HPH38040
"1,2,4-triazinanes"	HPH38041; ISA38778
"1,3,5-triazinanes"	ISA38779
Organic trisulfides	ISA78493
Organic disulfides	ISA35489
Prenylated hydroquinones	ISA24646
Prenylquinones	ISA26255
Thianthrenes	ISA64511
Benzodithiins	ISA38106; ISA27171
"1,2-benzodithiins"	ISA38106; ISA27171
"1,3-benzodithiins"	ISA38106; ISA27171
"1,4-benzodithiins"	ISA38106; ISA27171
"2,3-benzodithiins"	ISA38106; ISA27171
N-methylpyrroles	ISA26455
Cinnamic acid amides	ISA23247
Phenylpropanes	ISA38976
Acyl glucuronides	ISA24302
O-glucuronides	ISA24302
N-glucuronides	ISA21731
C-glucuronides	ISA20857
S-glucuronides	ISA35275
Dibenzopyrans	ISA39203
Dibenzothiophenes	ISA23684
Isoflav-3-enes	ISA50753
Isoflav-3-enones	ISA50753
Isoflavone epoxides	ISA50753; ISA32955
Leontidine-type alkaloids	ISA22315
Aloperine and related alkaloids	ISA22315
Azaphenalenes	ISA22315
Ormosia-type alkaloids	ISA22315
"Pyrido[2,3,4-kl]acridones"	ISA38163; ISA38101
"Pyrido[2,3,4-kl]acridines"	ISA38163; ISA38101
"Pyrrolo[2,3,4-kl]acridines"	ISA38163; ISA38101
"Pyrrolo[4,3,2-de]quinolines"	ISA50918
5-hydroxypsoralens	ISA26369
8-hydroxypsoralens	ISA26369
5-methoxypsoralens	ISA26369
8-methoxypsoralens	ISA26369
Thiochromanes	ISA50747
Isothiochromanes	ISA38106; ISA27171
Pyrazolidinones	ISA26410
Hydrocarbons	ISA24632
Olefins	ISA33641
Acyclic olefins	ISA33645
Cyclic olefins	ISA33642
Alkatrienes	ISA33647
Alkatetraenes	ISA37835
Acetylenes	ISA33644
Alkadiynes	ISA33651
Alkatriynes	ISA33652
Cyclic acetylenes	ISA33649
Acyclic acetylenes	ISA33650
Monocyclic acetylenes	ISA33649
Polycyclic acetylenes	ISA33649
Cycloalkynes	ISA33648
Iminoquinones	ISA50193
Cytochalasins	ISA23528
Aziridinones	ISA22681; ISA24995
Lactims	ISA24995
Phosphorus mustard compounds	ISA25710; ISA36684
Phosphorodiamides	ISA35467
Phosphoromonoamides	ISA17102
Isofamides	ISA55369
Azlactones	ISA37581; ISA46812
Sulfonylamines	ISA35358; ISA51517
Vinyl fluorides	ISA37143
Vinyl iodides	ISA37142
Vinyl chlorides	ISA36683
Vinyl bromides	ISA37141
Acyl halides	ISA37579
Aryl halides	ISA50887
Alkyl halides	ISA24469
Vinyl halides	ISA36684
Organic sulfuryl halides	ISA33261; ISA36963; ISA37578
Imidoyl halides	ISA37579
Ambrosane sesquiterpenoids	HPH35712; ISA26658
Elemane sesquiterpenoids	ISA26658
Pseudoguaianes	ISA26658
Guaianes	ISA26658
Tigliane and ingenane diterpenoids	ISA23849
Cyathane diterpenoids	ISA23849
Jatrophane and cyclojatrophane diterpenoids	ISA23849
Leucothol and grayanotoxane diterpenoids	ISA23849
Xeniaphyllane and xenicane diterpenoids	ISA23849
Sphaerane diterpenoids	ISA23849
Cheilanthane sesterterpenoids	ISA26660
Ophiobolane sesterterpenoids	ISA26660
Scalarane sesterterpenoids	ISA59370
Lupane triterpenoids	HPH36485; ISA36615
Tirucallane and euphane triterpenoids	ISA36615
"Taraxastane, ursane, and bauerane triterpenoids"	ISA36615
"Taraxerane, multiflorane, glutinane and friedelane triterpenoids"	ISA36615
Dammarane triterpenoids	ISA36615; HP36488
Protostane and fusidane triterpenoids	ISA36615
Briarane diterpenoids	ISA23849
Actinide metavanadates	ISA33498; HP75224
Quinonimines	ISA50193
M-quinonimines	ISA50193
O-quinonimines	ISA50193
P-quinonimines	ISA50193
Isoflavonoid C-glycosides	ISA50753; ISA20857
Neoflavonoid 5-O-glycosides	ISA71971; ISA24400
Homoisoflavanones	ISA73233
Sulfinohydrazonoperoxoic acids	ISA64709
"1,2-diaryl-2-propen-1-ols"	ISA72544
Isoflav-2-enes	ISA50753
Milbemycins	ISA50345
Perylenequinones	ISA25479
Holostanes	ISA35341
Dithiolethiones	ISA38081
Phorbol esters	ISA37532
4-hydroxycoumarins	ISA37912
Hydroxycoumarins	ISA37912
7-hydroxycoumarins	ISA37912
Borinanes	ISA38278
"Polypodane, malabaricane and podiodane triterpenoids"	ISA36615
Alpha-hydroxy ketones	ISA17087
Beta-hydroxy ketones	ISA55380
3-hydroxyflavonoids	ISA71968
3'-hydroxyflavonoids	ISA71968
Eunicellane and asbestinane diterpenoids	ISA23849
Arborinane and stictane triterpenoids	ISA36615
Serratane and onocerane triterpenoids	ISA36615
Phenyltropanes	ISA38295; HPH35615
Diazepanes	ISA38823
"1,2-diazepanes"	ISA38823
"1,3-diazepanes"	ISA38823
"1,4-diazepanes"	ISA38823
"1,2,4-oxadiazoles"	ISA46809
"1,3,4-oxadiazoles"	ISA46810
Ortho esters	ISA71989
Ortho amides	ISA35352
Ortho acids	ISA24833
Sulfimides	ISA35352; ISA33261
Mutilane diterpenoids	ISA23849
Aphidicolane and stemodane diterpenoids	ISA23849
"1,3-isoquinolinediones"	ISA24922
"1,4-isoquinolinediones"	ISA24922
Flavonoid O-glucuronides	ISA72544; ISA15341
Neoflavonoid 7-O-glycosides	ISA71971; ISA24400
Cycloheptafurans	ISA39435
Cycloheptapyrans	ISA38104
Cyclopentanols	ISA23495
Dioxepines	ISA38104
"1,2-dioxepines"	ISA38104; ISA38101
"1,3-dioxepines"	ISA38104
"1,4-dioxepines"	ISA38104
Dioxepanes	ISA38104
"1,2-dioxepanes"	ISA38104; ISA38101
"1,3-dioxepanes"	ISA38104
"1,4-dioxepanes"	ISA38104
Guanidinobenzoic acids	ISA24436; ISA22723
Aminobenzoic acids	ISA22495
Long-chain fatty acids	ISA15904
Very long-chain fatty acids	ISA27283
Long-chain fatty alcohols	ISA17135
Long-chain fatty aldehydes	ISA17176
Piperidinesulfonamides	ISA48738
Tetrahydrofolic acids	ISA26907
Tetrahydroisoquinolines	ISA24922
1-phenyltetrahydroisoquinolines	ISA24922
4-phenyltetrahydroisoquinolines	ISA24922
Dihydroisoquinolines	ISA24922
Sulfonohydrazides	ISA48104
3-hydroxyacyl CoAs	ISA62618
N-acylsphingosines	ISA52639
N-acylsphinganines	ISA31488
Phytoceramides	ISA31998
N-formyl-alpha amino acids	ISA50759
N-formyl-alpha amino acids and derivatives	ISA24079; HFP33704
Tetracarboxylic acids and derivatives	ISA36963; HFP35742
Hexacarboxylic acids and derivatives	ISA36963; HFP35743
3-hydroxy delta-1-steroids	ISA36834
"3-hydroxy delta-1,4-steroids"	ISA36834
3-hydroxy delta-4-steroids	ISA36834
3-hydroxy delta-5-steroids	ISA36834
3-oxo delta-1-steroids	ISA20156
"3-oxo delta-1,4-steroids"	ISA77166
3-oxo delta-4-steroids	ISA47909
3-oxo delta-5-steroids	ISA47907
Delta-1-steroids	ISA35341
"Delta-1,4-steroids"	ISA35341
Delta-4-steroids	ISA35341
Delta-5-steroids	ISA35341
N-phenylthioureas	ISA51276
N-acyl-phenylthioureas	ISA51276
N-acyl-phenylureas	ISA74266
Acylguanidines	ISA24436
Delta-7-steroids	ISA35341
3-hydroxy delta-7-steroids	ISA35341
3-oxo delta-7-steroids	ISA71598
6-aminopurines	ISA20706
4-hydroxyflavonoids	ISA71968
4'-hydroxyflavonoids	ISA71968
6-hydroxyflavonoids	ISA71968
Hydroxyflavonoids	ISA71968
5-hydroxyflavonoids	ISA71968
7-hydroxyflavonoids	ISA71968
8-hydroxyflavonoids	ISA71968
Pentacarboxylic acids and derivatives	ISA36963; HFP59359
Anthocyanidin-3-O-glycosides	ISA71583
Anthocyanidin-5-O-glycosides	ISA71583
C19-gibberellins	ISA20858
C20-gibberellins	ISA20859
Alpha-halocarboxylic acids	ISA33575; ISA36684
Alpha-halocarboxylic acid derivatives	ISA36684; HFP33575
Hydroxycinnamic acid esters	ISA33308; HFP24689
Hydroxycinnamic acid glycosides	ISA24400; HFP24689
Chlorogenic acids and derivatives	ISA33308; HFP24689
Sulfated flavonoids	ISA72544; ISA25704
Monohydroxyflavonoids	ISA71968
Phenanthrols	ISA25962
Aminosalicylic acids and derivatives	ISA33860
Aminosalicylic acids	ISA25389; HFP16914; ISA33860
3-aminosalicylic acids	ISA25389; HFP16914; ISA33860
4-aminosalicylic acids	ISA25389; HFP16914; ISA33860
Flavan-3-ols	ISA72010
Flavan-4-ols	ISA72010
Organophosphinic acids and derivatives	ISA26044
Phosphinic acid esters	ISA26043
Tropoloisoquinolines	ISA22315
Benzacridines	ISA38180; ISA38101
Isoaporphines	ISA22315
1-azaoxoaporphines	ISA22315
Azahomoaporphines	ISA22315
Hydroxy-7-aporphines	ISA22315
Methyl-7-aporphines	ISA22315
N-acylpyrrolidines	ISA46766
Gamma-glutamyl amino acids	ISA15857
Gamma-glutamyl peptides	ISA16670
3-oxosteroids	ISA47788
3-hydroxysteroids	ISA36834
"Polyprenylbenzene-1,2-diols"	ISA33566
Polychlorinated dibenzofurans	ISA38922; ISA36683
Polychlorinated biphenyls	ISA53156
Pyrrolidine-2-ones	ISA74223
Pyrrolidine-3-ones	ISA38275
Dicarboximides	ISA35356
C-nitroso compounds	ISA35800
O-nitroso compounds	ISA35800
N-nitroso compounds	ISA35800
3-aminosalicyclic acids and derivatives	ISA33860
4-aminosalicyclic acids and derivatives	ISA33860
Folic acids	ISA37445
Pteroic acids	ISA38795
Dihydropteroic acids and derivatives	ISA26373
Tetrahydropteroic acids and derivatives	ISA26373
"7,8-dihydrofolic acids"	ISA37445
"7,8-dihydrofolic acids and derivatives"	ISA26375
Tetrahydropteroic acids	ISA38795
"7,8-dihydropteroic acids"	ISA38795
"7,8-dihydropteroic acids and derivatives"	ISA26373
N-acylneuraminic acids	ISA25508
N-acylneuraminic acids and derivatives	ISA28963
Neuraminic acids	ISA25508
N-acylglutathiones	ISA21659
S-acylglutathiones	ISA18126
25-azasteroids and derivatives	ISA35726
8-azasteroids and derivatives	ISA35726
6-azasteroids and derivatives	ISA35726
4-azasteroids and derivatives	ISA35726
p-Bromobenzenesulfonates	ISA33552
20-oxosteroids	ISA36885
11-oxosteroids	ISA47787
16-oxosteroids	ISA47786
C24-propyl sterols and derivatives	ISA35341
Sulfoquinovosylmonoacylglycerols	ISA63427
Sulfoquinovosyl 1-monoacylglycerols	ISA63427
Sulfoquinovosyl 2-monoacylglycerols	ISA63427
Indan-1-spirocyclohexanes	ISA33599
Carbapenams	ISA64510
Glycosyldiacylglycerols	ISA63427
Monosubstituted amine oxides and derivatives	ISA35580
Disubstituted amine oxides and derivatives	ISA35580
Trisubstituted amine oxides and derivatives	ISA35580
"1,8-naphthalic anhydrides"	ISA36609
1-carboxy-2-haloaromatic compounds	ISA33859; ISA36684
Aromatic alcohols	ISA33854
Arylsufonic acids	ISA33552
"1-sulfo,2-unsubstituted aromatic compounds"	ISA33555
Thioamide-s-oxides	ISA47956
"Thioamide-s,s-dioxides"	ISA47956
Aldoximes	ISA22307
Ketoximes	ISA24983
N-aliphatic s-triazines	ISA26588
Acylsulfonic acids and derivatives	ISA33552
Acylsulfonic acids	ISA33552
2-polyprenyl-6-methoxyphenols	ISA33853
Chlorohydroquinones	ISA23147
Peroxybenzoic acids and derivatives	ISA36586
Medium-chain fatty acids	ISA59554
Benzylpiperidines	ISA26151
2-benzylpiperidines	ISA26151
3-benzylpiperidines	ISA26151
4-benzylpiperidines	ISA26151
N-acylimines	ISA51517
Oxaziridines	ISA38101; ISA38104
N-sulfonyloxaziridines	ISA33552; ISA38101; ISA38104
Thiadiazinanes	ISA38781
21-hydroxysteroids	ISA35344
Halobenzoic acids and derivatives	ISA36586; ISA36684
Halobenzoic acids	ISA22723; ISA36684
2-halobenzoic acids and derivatives	ISA36586; ISA36684
3-halobenzoic acids and derivatives	ISA36586; ISA36684
4-halobenzoic acids and derivatives	ISA36586; ISA36684
2-halobenzoic acids	ISA70862
3-halobenzoic acids	ISA22723; ISA36684
4-halobenzoic acids	ISA22723; ISA36684
Geminal diols	ISA63732
O-sulfanylbenzoic acids and derivatives	ISA36586
O-sulfanylbenzoic acids	ISA22723
Carbothioic s-acids	ISA33307
Carbothioic o-acids	ISA33307
Flavaglines	ISA71504
Hydroxylamine o-sulfonic acids	ISA38025
Hydrazinesulfinic acids	ISA37784
Sulfonohydrazonic acids	ISA35352; ISA33261
Sulfonimidic acids	ISA35352; ISA33261
Sulfonodihydrazonic acids	ISA35352; ISA33261
Tellurinohydrazonic acids	ISA36652
Selenodiimidic acids	ISA25712
Selenimidic acids	ISA25712
Sulfonohydrazonimidic acids	ISA33261
Seleninyl compounds	ISA25712
Selenonyl compounds	ISA25712
Telluronyl compounds	ISA36652
Tellurinyl compounds	ISA36652
Selenocarbonyl compounds	ISA25712
Tellurocarbonyl compounds	ISA36652
Imidocarbonyl compounds	ISA35352
Carboselenoic acids	ISA25712
Carboselenoamides	ISA25712
Carbotelluroic acids and derivatives	ISA36652
Carbotelluroamides	ISA36652
Sulfinyl compounds	ISA37784
"Alpha,beta-unsaturated carbonyl compounds"	ISA36586
Hydrazinecarboxylic acids and derivatives	ISA36586
Hydrazinecarboxylic acids	ISA33575
Hydrazinecarboxamides	ISA37622
Organic thioperoxides	ISA36962
Alkanesulfonic acids and derivatives	ISA33552
Aminosulfonyl compounds	ISA35352; ISA33261
Hydrazinosulfonyl compounds	ISA35352; ISA33261
Aminosulfonodithioyl compounds	ISA35352; ISA33261
Trialkoxysilanes	ISA25713
S-hydrazinosulfonimidoyl compounds	ISA35352; ISA33261
S-aminosulfonimidothioyl compounds	ISA35352; ISA33261
Aminosulfinyl compounds	ISA35352; ISA33261
Sulfonohydrazonothioic o-acids	ISA35352; ISA33261
Sulfonohydrazonothioic s-acids	ISA35352; ISA33261
Sulfonimidodithioic acids	ISA35352; ISA33261
Sulfonimidoselenoic acids	ISA25712
Sulfonohydrazonamides	ISA35352; ISA33261
Hydrazineselenoamides	ISA25712
Sulfonodiimidoperoxoic acids	ISA35352; ISA33261
Sulfonodiimidic acids	ISA35352; ISA33261
Carboximidamides	ISA35352
Carboximidohydrazides	ISA35352
Sulfonimidamides	ISA33261
Sulfonodiimidamides	ISA33261
Sulfinoimidoperoxoic acids	ISA24833; ISA33261; ISA35352
OS-thioperoxols	ISA37865
SO-thioperoxols	ISA51334
Thioperoxols	ISA37864
Telluronohydrazides	ISA36652
Tellurinohydrazides	ISA36652
Seleninohydrazides	ISA25712
Selenonohydrazides	ISA25712
Carboperoxoic acids	ISA52094
Carboperoxoselenoic acids	ISA25712
Carboperoxothioic OO-acids	ISA33261
Carboselenothioic S-acids	ISA25712
Carboselenothioic Se-acids	ISA25712
Carbodiselenoic acids	ISA25712
Long-chain 1-monoacylglycerols	ISA35759; HFP15904
Very long-chain 1-monoacylglycerols	ISA35759; HFP27283
Long-chain 2-monoacylglycerols	ISA17389; HFP15904
Very long-chain 2-monoacylglycerols	ISA17389; HFP27283
Very long-chain fatty aldehydes	ISA35746
Very long-chain fatty acyl CoAs	ISA61910
Long-chain 3-oxoacyl CoAs	ISA15489; ISA33184
Very-long-chain 3-oxoacyl CoAs	ISA15489; ISA61910
Long-chain 3-hydroxyacyl CoAs	ISA20060; ISA33184
Very long-chain 3-hydroxyacyl CoAs	ISA20060; ISA61910
Enoyl CoAs	ISA51006
2-enoyl CoAs	ISA19573
3-enoyl CoAs	ISA20012
Long-chain enoyl CoAs	ISA51006; ISA33184
Long-chain 2-enoyl CoAs	ISA19573; ISA33184
Long-chain 3-enoyl CoAs	ISA20012; ISA33184
N-acyl-phosphatidylethanolamines	ISA36314
Glycero-3-phospho-n-acyl-ethanolamines	ISA36314
Acyl homoserines	ISA55414
3-Oxo-acyl homoserines	ISA55414
Coumarino-alpha-pyrones	ISA23403
Coumarino-gamma-pyrones	ISA23403
Ammonium ylides	ISA51152
Nitrile ylides	ISA47846
Organosilicon compounds	ISA25713
Alkylsilanes	ISA25713
Alkylarylsilanes	ISA25713
Alpha-diazo esters	ISA39444
Alpha-diazo ketones	ISA39444
Sulfonyl azides	ISA22680; ISA33552
Silyl ethers	ISA47988
Silanols	ISA37171
Urazoles	ISA35727
Maleimides	ISA55417
"2,3-dihydro-4-pyridones"	ISA38183
Disiloxanes	ISA48138
Medium-chain fatty acyl CoAs	ISA61907
Medium-chain 2-enoyl CoAs	ISA51006
"2,3,4-saturated fatty acyl CoAs"	ISA37554
Carbo-azosulfones	ISA38084
5-monosubstituted hydantoins	ISA24628; HFP27612
N-acyl-aliphatic-alpha amino acids	ISA51569
N-acyl-aromatic-alpha amino acids	ISA51569
Aryl-aldehydes	ISA33855
2-phenylindoles	ISA48559
Thiophene sulfoxides	ISA26961; ISA35813
